ensemble_id,inducers,inducers_spec,dataset,test_accuracy,test_f1,ensemble_type
ensemble_13,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-XED-fine')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03')",iSarcasm_test,0.85,0.4852941176470588,best-F1_three-model
ensemble_5,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-fine')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03')",iSarcasm_test,0.8392857142857143,0.4851258581235698,best-F1_three-model
ensemble_15,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-XED-fine', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8592857142857143,0.4829396325459318,best-F1_three-model
ensemble_6,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.86,0.48148148148148145,best-F1_three-model
ensemble_7,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-XED-fine')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03')",iSarcasm_test,0.8357142857142857,0.4796380090497738,best-F1_three-model
ensemble_9,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-XED-fine', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8478571428571429,0.4766584766584767,best-F1_three-model
ensemble_3,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8664285714285714,0.4672364672364672,best-F1_three-model
ensemble_0,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-SARC')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03')",iSarcasm_test,0.8521428571428571,0.4538258575197889,best-F1_three-model
ensemble_1,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-XED-binary')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03')",iSarcasm_test,0.8521428571428571,0.4509283819628647,best-F1_three-model
ensemble_2,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-XED-fine')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03')",iSarcasm_test,0.845,0.44783715012722647,best-F1_three-model
ensemble_5,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-XED-fine', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8692857142857143,0.5221932114882506,best-F1_five-model
ensemble_1,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8692857142857143,0.5040650406504066,best-F1_five-model
ensemble_4,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-XED-fine', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.855,0.5036674816625918,best-F1_five-model
ensemble_0,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-XED-fine')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03')",iSarcasm_test,0.8571428571428571,0.494949494949495,best-F1_five-model
ensemble_2,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-fine', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8635714285714285,0.4879356568364612,best-F1_five-model
ensemble_3,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-XED-fine', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.86,0.48148148148148145,best-F1_five-model
ensemble_18,"('target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-fine', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8792857142857143,0.4735202492211838,best-acc_three-model
ensemble_15,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-XED-fine', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8792857142857143,0.4385382059800665,best-acc_three-model
ensemble_10,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-binary')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03')",iSarcasm_test,0.8778571428571429,0.5014577259475218,best-acc_three-model
ensemble_12,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8771428571428571,0.45569620253164556,best-acc_three-model
ensemble_14,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.875,0.4336569579288026,best-acc_three-model
ensemble_11,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-fine')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03')",iSarcasm_test,0.8742857142857143,0.46987951807228917,best-acc_three-model
ensemble_3,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8735714285714286,0.4080267558528428,best-acc_three-model
ensemble_17,"('target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8728571428571429,0.47953216374269003,best-acc_three-model
ensemble_9,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-XED-fine', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8721428571428571,0.43887147335423193,best-acc_three-model
ensemble_19,"('target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-XED-fine', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8707142857142857,0.4361370716510903,best-acc_three-model
ensemble_13,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-XED-fine')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03')",iSarcasm_test,0.8678571428571429,0.43425076452599387,best-acc_three-model
ensemble_6,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8678571428571429,0.44108761329305135,best-acc_three-model
ensemble_0,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-SARC')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03')",iSarcasm_test,0.8678571428571429,0.44108761329305135,best-acc_three-model
ensemble_16,"('target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-XED-fine')","('target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03')",iSarcasm_test,0.8671428571428571,0.48618784530386744,best-acc_three-model
ensemble_2,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-XED-fine')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03')",iSarcasm_test,0.8671428571428571,0.4294478527607362,best-acc_three-model
ensemble_1,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-XED-binary')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03')",iSarcasm_test,0.8664285714285714,0.42813455657492355,best-acc_three-model
ensemble_8,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8657142857142858,0.4233128834355828,best-acc_three-model
